종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
245360,4,TIGER 차이나HSCEI,10195,2,155,1.54,10230.0,6.5251,14832,150,1050,해외 주식,TIGER,False,False,False
417630,2,TIGER KEDI혁신기업ESG30,8670,5,-35,-0.4,8668.0,-16.0964,290551,2551,1006,국내 업종/테마,TIGER,False,False,False
395170,2,KODEX Fn Top10동일가중,7035,5,-15,-0.21,7031.0,-9.3131,2011,14,985,국내 업종/테마,KODEX,False,False,False
365780,6,KINDEX 국고채10년,85525,2,80,0.09,85657.0,-6.156,829,71,970,채권,KINDEX,False,False,False
400570,4,KODEX 유럽탄소배출권선물ICE(H),12935,5,-275,-2.08,12968.0,5.2589,55927,723,938,해외 주식,KODEX,False,False,True
261240,7,KODEX 미국달러선물,11505,2,45,0.39,11517.0,6.4066,112965,1298,934,기타,KODEX,False,False,False
305080,6,TIGER 미국채10년선물,11850,2,110,0.94,11861.0,0.5136,55051,652,912,채권,TIGER,False,False,False
419430,4,KODEX 차이나2차전지MSCI(합성),11820,2,265,2.29,12118.0,15.4345,103839,1213,910,해외 주식,KODEX,False,False,False
245340,4,TIGER 미국다우존스30,19880,2,270,1.38,19938.0,-6.9558,7226,143,907,해외 주식,TIGER,False,False,False
414270,4,KINDEX G2전기차&자율주행액티브,9815,2,170,1.76,9970.0,-3.9821,253415,2467,893,해외 주식,KINDEX,False,False,False
304940,4,KODEX 미국나스닥100선물(H),14520,2,135,0.94,14546.0,-20.9181,53031,769,893,해외 주식,KODEX,False,False,True
123310,3,TIGER 인버스,5635,2,35,0.63,5636.0,16.6666,1573044,8813,834,국내 파생,TIGER,True,False,False
367760,2,KBSTAR Fn5G테크,7400,5,-180,-2.37,7414.0,-21.1239,12643,95,825,국내 업종/테마,KBSTAR,False,False,False
277630,1,TIGER 코스피,23785,5,-290,-1.2,23791.0,-13.3027,9867,236,821,국내 시장지수,TIGER,False,False,False
144600,5,KODEX 은선물(H),4315,5,-5,-0.12,4320.0,-17.0826,93585,403,820,원자재,KODEX,False,False,True
278240,3,KBSTAR 코스닥150선물레버리지,8030,5,-610,-7.06,8007.0,-32.6316,36880,306,812,국내 파생,KBSTAR,False,True,False
272560,6,KBSTAR 단기국공채액티브,102220,5,-55,-0.05,102220.0,-0.3605,495,50,802,채권,KBSTAR,False,False,False
397420,6,KBSTAR 국채선물5년추종,46665,5,-20,-0.04,46592.0,-3.633,1003,46,792,채권,KBSTAR,False,False,False
139220,2,TIGER 200 건설,2315,5,-90,-3.74,2314.0,-21.6102,727291,1710,783,국내 업종/테마,TIGER,False,False,False
395750,2,ARIRANG ESG가치주액티브,7315,5,-145,-1.94,7344.0,-13.427,282,2,768,국내 업종/테마,ARIRANG,False,False,False
364970,2,TIGER KRX바이오K-뉴딜,6200,2,30,0.49,6224.0,-13.7063,914777,5720,760,국내 업종/테마,TIGER,False,False,False
298340,6,ARIRANG 국채선물3년,51370,5,-15,-0.03,51309.0,-2.8823,19,0,752,채권,ARIRANG,False,False,False
337160,2,KODEX 200ESG,11260,5,-105,-0.92,11258.0,-14.0318,392,4,743,국내 업종/테마,KODEX,False,False,False
267770,3,TIGER 200선물레버리지,10705,5,-150,-1.38,10712.0,-27.8258,648528,7010,739,국내 파생,TIGER,False,True,False
139280,2,TIGER 경기방어,9125,2,70,0.77,9137.0,-9.0499,3860,35,728,국내 업종/테마,TIGER,False,False,False
174360,4,KBSTAR 중국본토대형주CSI100,20100,2,280,1.41,20267.0,2.1649,2452,48,724,해외 주식,KBSTAR,False,False,False
322400,2,HANARO e커머스,12670,5,-55,-0.43,12673.0,-23.1815,10713,136,716,국내 업종/테마,HANARO,False,False,False
325010,2,KODEX Fn성장,12690,5,-150,-1.17,12692.0,-17.2894,129,1,698,국내 업종/테마,KODEX,False,False,False
363580,2,KODEX 200IT TR,10160,5,-125,-1.22,10163.0,-17.7858,565,5,681,국내 업종/테마,KODEX,False,False,False
195980,4,ARIRANG 신흥국MSCI(합성 H),9430,5,-40,-0.42,9416.0,-11.3711,12769,119,677,해외 주식,ARIRANG,False,False,True
139230,2,TIGER 200 중공업,2825,5,-60,-2.08,2828.0,-9.1339,1011139,2907,671,국내 업종/테마,TIGER,False,False,False
114820,6,TIGER 국채3년,104950,5,-30,-0.03,104940.0,-2.4132,546,57,661,채권,TIGER,False,False,False
396510,4,TIGER 차이나클린에너지SOLACTIVE,10280,2,105,1.03,10318.0,3.457,78760,801,654,해외 주식,TIGER,False,False,False
402970,4,KINDEX 미국고배당S&P,10140,2,70,0.7,10162.0,-3.8756,17311,175,649,해외 주식,KINDEX,False,False,False
298770,4,KODEX 한국대만IT프리미어,16390,5,-315,-1.89,16292.0,-13.4008,2717,44,639,해외 주식,KODEX,False,False,False
152870,1,파워 200,31095,5,-180,-0.58,31010.0,-14.5235,108,3,637,국내 시장지수,파워,False,False,False
371470,4,TIGER 차이나바이오테크SOLACTIVE,7950,2,105,1.34,8016.0,-4.0367,28575,225,636,해외 주식,TIGER,False,False,False
157490,2,TIGER 소프트웨어,10040,5,-5,-0.05,10035.0,-29.1558,75681,763,633,국내 업종/테마,TIGER,False,False,False
385510,2,KODEX K-신재생에너지액티브,9695,5,-380,-3.77,9699.0,-4.4118,41191,407,630,국내 업종/테마,KODEX,False,False,False
390390,4,KODEX 미국반도체MV,9205,2,45,0.49,9265.0,-17.5147,38379,352,617,해외 주식,KODEX,False,False,False
266160,2,KBSTAR 고배당,10810,5,-120,-1.1,10808.0,-11.1744,4368,47,616,국내 업종/테마,KBSTAR,False,False,False
391600,4,KINDEX 미국친환경그린테마INDXX,9470,2,90,0.96,9577.0,-6.9445,12666,120,597,해외 주식,KINDEX,False,False,False
200250,4,KOSEF 인도Nifty50(합성),16980,2,90,0.53,17066.0,-8.2813,11646,197,594,해외 주식,KOSEF,False,False,False
195930,4,TIGER 유로스탁스50(합성 H),11885,5,-15,-0.13,12027.0,-9.8485,4905,58,594,해외 주식,TIGER,False,False,True
228790,2,TIGER 화장품,2050,5,-45,-2.15,2048.0,-23.8182,1259156,2611,592,국내 업종/테마,TIGER,False,False,False
225040,4,TIGER 미국S&P500레버리지(합성 H),22410,2,280,1.27,22593.0,-32.0019,13522,303,592,해외 주식,TIGER,False,True,True
117700,2,KODEX 건설,2540,5,-110,-4.15,2542.0,-23.0323,770357,1990,589,국내 업종/테마,KODEX,False,False,False
302190,6,TIGER 중장기국채,47780,2,25,0.05,47819.0,-4.3466,557,26,583,채권,TIGER,False,False,False
423920,4,TIGER 미국필라델피아반도체레버리지(합성),7945,2,150,1.92,7978.0,,73199,578,579,해외 주식,TIGER,False,True,False
385520,2,KODEX K-미래차액티브,8890,5,-210,-2.31,8913.0,-10.5476,72002,645,573,국내 업종/테마,KODEX,False,False,False
388280,2,KBSTAR Fn컨택트대표,7560,5,-185,-2.39,7582.0,-17.8075,8424,64,565,국내 업종/테마,KBSTAR,False,False,False
256750,4,KODEX 차이나심천ChiNext(합성),12950,2,400,3.19,13054.0,1.0873,32110,409,544,해외 주식,KODEX,False,False,False
099140,4,KODEX 차이나H,17535,2,340,1.98,17618.0,6.011,7819,135,544,해외 주식,KODEX,False,False,False
354350,4,HANARO 글로벌럭셔리S&P(합성),14945,2,70,0.47,14985.0,-12.8844,5564,83,540,해외 주식,HANARO,False,False,False
387270,4,TIGER 글로벌BBIG액티브,9705,2,105,1.09,9735.0,-10.9875,13364,129,528,해외 주식,TIGER,False,False,False
396500,2,TIGER Fn반도체TOP10,7065,5,-105,-1.46,7060.0,-23.6585,179261,1278,526,국내 업종/테마,TIGER,False,False,False
204450,4,KODEX 차이나H레버리지(H),2995,2,65,2.22,3008.0,-3.1405,311131,922,524,해외 주식,KODEX,False,True,True
422420,2,KBSTAR 2차전지액티브,9120,5,-415,-4.35,9111.0,,406401,3790,522,국내 업종/테마,KBSTAR,False,False,False
310960,1,TIGER 200TR,16650,5,-115,-0.69,16606.0,-14.508,3819,63,516,국내 시장지수,TIGER,False,False,False
