종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목명_전처리,종목코드,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,시가총액순위,상장주식수,액면가l매매단위,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견l목표주가,52주최고l최저,PERlEPS(2022.03),추정PERlEPS,PBRlBPS (2022.03),배당수익률,동일업종 PER,동일업종 등락률,배당수익률l2021.12,PERlEPS(2021.12),PBRlBPS (2021.12),PERlEPS(2022.02),PBRlBPS (2022.02),배당수익률l2021.11
JW중외제약우,36550.0,50.0,-0.14%,35300.0,36600.0,5.0,0.0,87.0,2022-07-12,JW중외제약우,001065,1659.0,156.0,100.0,9.4,6.03,,,,,510.0,47.35,,,,,,66  억원,코스피 1672위,182735,"2,500원  l  1주",182735,67,0.04%,"4.00매수  l  35,667","47,261  l  27,520",186.41배  l  195원,"18.00배  l  2,006원","4.16배  l  8,745원",,106.06배,+0.27%,0.96%,,,,,
경보제약,7100.0,10.0,-0.14%,6920.0,7190.0,688.0,4.0,20865.0,2022-07-12,경보제약,214390,,,,,,,,,,,,,,,,,"1,697  억원",코스피 629위,23906860,500원  l  1주,23906860,173182,0.72%,N/A  l  N/A,"15,300  l  6,130",N/A  l  -370원,N/A  l  N/A,"1.18배  l  6,036원",,106.06배,+0.27%,0.70%,,,,,
한미약품,320500.0,500.0,-0.16%,318500.0,319000.0,3002.0,966.0,29627.0,2022-07-12,한미약품,128940,3026.0,235.0,165.0,7.77,5.45,,,,,865.0,371.22,,,,,,"3조  9,602  억원",코스피 76위,12317971,"2,500원  l  1주",12317971,1701670,13.81%,"3.94매수  l  362,059","339,403  l  232,500","58.67배  l  5,480원","52.00배  l  6,125원","4.81배  l  66,877원",,106.06배,+0.27%,0.15%,,,,,
유한양행우,55300.0,100.0,-0.18%,54500.0,55500.0,15.0,0.0,136.0,2022-07-12,유한양행우,000105,4718.0,186.0,291.0,3.95,6.16,,,,,431.0,133.27,,,,,,653  억원,코스피 954위,1180940,"1,000원  l  1주",1180940,0,0.00%,"4.00매수  l  81,269","72,800  l  52,400","42.02배  l  1,316원","39.00배  l  1,433원","1.99배  l  27,760원",,106.06배,+0.22%,0.74%,,,,,
대웅,27450.0,50.0,-0.18%,27000.0,28000.0,1435.0,39.0,41665.0,2022-07-12,대웅,003090,3910.0,505.0,377.0,12.92,9.64,,,,,513.0,53.65,,,,,,"1조  6,338  억원",코스피 153위,58141980,500원  l  1주,58141980,2572075,4.42%,"4.00매수  l  38,000","40,300  l  23,400","16.49배  l  1,704원",N/A  l  N/A,"1.55배  l  18,113원",,106.06배,+0.27%,0.36%,,,,,
테라젠이텍스 *,4420.0,10.0,-0.23%,4450.0,4475.0,6011.0,27.0,74175.0,2022-07-12,테라젠이텍스,066700,,,,,,,,,,,,,,,,,"1,424  억원",코스닥 581위,32474435,500원  l  1주,32474435,703333,2.17%,N/A  l  N/A,"9,100  l  3,650",N/A  l  -189원,N/A  l  N/A,"0.81배  l  5,381원",,106.06배,+0.22%,,,,,,
휴메딕스 *,21500.0,50.0,-0.23%,21000.0,21400.0,1631.0,35.0,36056.0,2022-07-12,휴메딕스,200670,301.0,58.0,52.0,19.27,17.28,,,,,522.0,41.32,,,,,,"2,154  억원",코스닥 370위,9971194,500원  l  1주,9971194,342052,3.43%,"4.00매수  l  33,000","39,300  l  18,200","12.40배  l  1,742원",N/A  l  N/A,"1.52배  l  14,194원",,106.06배,+0.22%,1.85%,,,,,
위더스제약 *,8610.0,20.0,-0.23%,8540.0,8590.0,1776.0,15.0,15529.0,2022-07-12,위더스제약,330350,,,,,,,,,,,,,,,,,"1,120  억원",코스닥 749위,13192778,200원  l  1주,13192778,118043,0.89%,N/A  l  N/A,"16,450  l  7,130",21.99배  l  386원,N/A  l  N/A,"1.36배  l  6,256원",,106.06배,+0.22%,0.56%,,,,,
씨엔알리서치 *,1775.0,5.0,-0.28%,1745.0,1780.0,118.0,0.0,31102.0,2022-07-12,씨엔알리서치,359090,,,,,,,,,,,,,,,,,931  억원,코스닥 886위,53222419,100원  l  1주,53222419,656305,1.23%,N/A  l  N/A,"3,200  l  1,595",,N/A  l  N/A,,,106.06배,+0.27%,,N/A  l  -66원,2.89배  l  606원,,,
환인제약,16600.0,50.0,-0.30%,16500.0,16600.0,107.0,1.0,10104.0,2022-07-12,환인제약,016580,,,,,,,,,,,,,,,,,"3,097  억원",코스피 443위,18600070,500원  l  1주,18600070,2653928,14.27%,"4.00매수  l  23,000","22,650  l  15,650","12.37배  l  1,346원",N/A  l  N/A,"0.79배  l  21,009원",,106.06배,+0.27%,1.80%,,,,,
