종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목코드,매출액,영업이익,당기순이익,영업이익률,순이익률,상장주식수,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),동일업종 PER,동일업종 등락률,코스피/코스닥,시가총액(억원),시가총액순위(전처리),52주최고,52주최저,52주차액,52주차액비율,현재-최고가,현재/최고가비율,목표주가,투자의견,매수매도,PBR,PPS,BPS,PER(배),EPS(원),PBR(배),BPS(원),배당수익률(%)
한미사이언스,41550.0,200.0,-0.48%,41700.0,41750.0,11050.0,462.0,91488.0,2022-07-12,008930,,,,,,68623684,68623684,1037753,1.51%,106.06,+0.22%,코스피,28650,101,83486,37400,46086,2.232245989304813,-41936.0,0.4976882351531993,,,,4.04배 ," 10,344원"," 10,344원",59.3,704.0,4.04,10344.0,0.47
삼성바이오로직스,825000.0,4000.0,-0.48%,826000.0,828000.0,3667.0,3033.0,62385.0,2022-07-12,207940,4546.0,1480.0,1125.0,32.55,24.74,71174000,71174000,7622546,10.71%,106.06,+0.27%,코스피,588609,4,1034746,684889,349857,1.510822921670519,-209746.0,0.7972971144609402,1100000.0,4.0,매수,12.81배 ," 64,542원"," 64,542원",115.47,7162.0,12.81,64542.0,
하이텍팜 *,10150.0,50.0,-0.49%,10050.0,10200.0,504.0,5.0,4523.0,2022-07-12,106190,,,,,,7088782,7088782,3082162,43.48%,106.06,+0.22%,코스닥,712,1084,23850,8860,14990,2.6918735891647856,-13700.0,0.42557651991614254,,,,0.77배 ," 13,028원"," 13,028원",,-403.0,0.77,13028.0,0.5
노바렉스 *,29600.0,150.0,-0.50%,29150.0,29250.0,291.0,9.0,24365.0,2022-07-12,194700,803.0,80.0,67.0,9.96,8.34,9003740,9003740,102829,1.14%,106.06,+0.22%,코스닥,2638,285,49807,26917,22890,1.8503919456105806,-20207.0,0.5942939747425061,52395.0,4.0,매수,1.61배 ," 18,194원"," 18,194원",10.31,2843.0,1.61,18194.0,1.01
동성제약,7840.0,40.0,-0.51%,7870.0,7880.0,665.0,5.0,21275.0,2022-07-12,002210,,,,,,26100970,26100970,1238922,4.75%,106.06,+0.22%,코스피,2036,578,11600,7150,4450,1.6223776223776223,-3760.0,0.6758620689655173,,,,4.03배 ," 1,936원"," 1,936원",,-193.0,4.03,1936.0,
종근당홀딩스,56300.0,300.0,-0.53%,56600.0,56800.0,158.0,8.0,3997.0,2022-07-12,001630,,,,,,5009861,5009861,301665,6.02%,106.06,+0.27%,코스피,2861,463,107500,54800,52700,1.9616788321167884,-51200.0,0.5237209302325582,,,,0.53배 ," 108,546원"," 108,546원",22.69,2516.0,0.53,108546.0,2.45
녹십자,181000.0,1000.0,-0.55%,179500.0,182000.0,2449.0,446.0,30582.0,2022-07-12,006280,4213.0,168.0,124.0,4.0,2.94,11686538,11686538,2672639,22.87%,106.06,+0.22%,코스피,21328,126,398000,151500,246500,2.627062706270627,-217000.0,0.4547738693467337,234625.0,4.0,매수,1.66배 ," 110,167원"," 110,167원",18.57,9827.0,1.66,110167.0,1.1
하나제약,17500.0,100.0,-0.57%,17350.0,17550.0,1729.0,30.0,15098.0,2022-07-12,293480,538.0,117.0,91.0,21.75,16.91,17772946,17772946,233139,1.31%,106.06,+0.22%,코스피,3092,444,23000,16600,6400,1.3855421686746987,-5500.0,0.7608695652173914,28000.0,4.0,매수,1.21배 ," 14,393원"," 14,393원",10.43,1668.0,1.21,14393.0,2.93
압타바이오 *,16950.0,100.0,-0.59%,17300.0,17350.0,36755.0,628.0,217560.0,2022-07-12,293780,,,,,,22298866,22298866,1059611,4.75%,106.06,+0.22%,코스닥,3813,168,62100,13400,48700,4.634328358208955,-45150.0,0.27294685990338163,,,,6.39배 ," 2,678원"," 2,678원",,-456.0,6.39,2678.0,
코오롱생명과학 *,33250.0,200.0,-0.60%,33450.0,33700.0,1964.0,65.0,23575.0,2022-07-12,102940,,,,,,11412356,11412356,305374,2.68%,106.06,+0.27%,코스닥,3829,165,46450,28300,18150,1.6413427561837455,-13200.0,0.7158234660925726,,,,3.95배 ," 8,489원"," 8,489원",,-351.0,3.95,8489.0,
녹십자웰빙 *,8090.0,50.0,-0.61%,8140.0,8190.0,6966.0,57.0,73707.0,2022-07-12,234690,,,,,,17752276,17752276,248357,1.40%,106.06,+0.27%,코스닥,1417,585,14100,6700,7400,2.1044776119402986,-6010.0,0.573758865248227,,,,1.61배 ," 4,946원"," 4,946원",20.62,387.0,1.61,4946.0,1.0
진양제약 *,6090.0,40.0,-0.65%,6090.0,6130.0,3606.0,22.0,23606.0,2022-07-12,007370,,,,,,12000000,12000000,271645,2.26%,106.06,+0.22%,코스닥,732,1063,9230,5220,4010,1.7681992337164751,-3140.0,0.6598049837486457,,,,1.03배 ," 5,896원"," 5,896원",6.97,875.0,1.03,5896.0,1.64
에이치엘사이언스 *,34850.0,250.0,-0.71%,34300.0,34850.0,161.0,6.0,2476.0,2022-07-12,239610,,,,,,5392115,5392115,30753,0.57%,106.06,+0.22%,코스닥,1852,427,40350,26750,13600,1.5084112149532711,-5500.0,0.8636926889714994,,,,1.69배 ," 20,344원"," 20,344원",15.0,2290.0,1.69,20344.0,1.16
HK이노엔 *,40100.0,300.0,-0.74%,39600.0,39950.0,45086.0,1803.0,612182.0,2022-07-12,195940,2105.0,146.0,89.0,6.92,4.23,28904499,28904499,680932,2.36%,106.06,+0.27%,코스닥,11822,34,80300,37300,43000,2.1528150134048256,-40200.0,0.49937733499377335,54125.0,4.0,매수,1.03배 ," 39,846원"," 39,846원",46.16,886.0,1.03,39846.0,0.78
JW생명과학,13300.0,100.0,-0.75%,13250.0,13450.0,219.0,2.0,12815.0,2022-07-12,234080,468.0,80.0,62.0,17.01,13.17,15834554,15834554,393559,2.49%,106.06,+0.26%,코스피,2098,572,19250,12050,7200,1.5975103734439835,-5950.0,0.6909090909090909,19000.0,4.0,매수,1.60배 ," 8,291원"," 8,291원",17.48,758.0,1.6,8291.0,3.77
에스텍파마 *,7720.0,60.0,-0.77%,7700.0,7850.0,437.0,3.0,24669.0,2022-07-12,041910,,,,,,11898263,11898263,220043,1.85%,106.06,+0.27%,코스닥,905,907,13250,6660,6590,1.9894894894894894,-5530.0,0.5826415094339623,,,,0.72배 ," 10,544원"," 10,544원",16.69,456.0,0.72,10544.0,1.31
